unit,distance,magnet.count,start.time,end.time,data.file
C,1,1,2026-09-17T12:38:38,2026-09-17T12:39:44,
C,2,1,2026-09-17T12:44:26,2026-09-17T12:45:27,
C,3,1,2026-09-17T12:46:07,2026-09-17T12:47:07,
C,4,1,2026-09-17T12:48:02,2026-09-17T12:49:02,
C,5,1,2026-09-17T12:49:35,2026-09-17T12:50:36,
C,6,1,2026-09-17T12:52:50,2026-09-17T12:53:50,
C,7,1,2026-09-17T12:54:43,2026-09-17T12:55:43,
C,8,1,2026-09-17T12:56:54,2026-09-17T12:57:54,
C,9,1,2026-09-17T13:03:47,2026-09-17T13:04:47,
C,10,1,2026-09-17T13:08:40,2026-09-17T13:09:40,
C,11,1,2026-09-17T13:10:57,2026-09-17T13:11:57,
C,12,1,2026-09-17T13:13:17,2026-09-17T13:14:19,
C,13,1,2026-09-17T13:15:23,2026-09-17T13:16:23,
C,14,1,2026-09-17T13:17:42,2026-09-17T13:18:42,
C,15,1,2026-09-17T13:19:14,2026-09-17T13:20:15,
C,16,1,2026-09-17T13:23:35,2026-09-17T13:24:35,
C,17,1,2026-09-17T13:25:08,2026-09-17T13:26:08,
C,18,1,2026-09-17T13:27:04,2026-09-17T13:28:04,
C,19,1,2026-09-17T13:28:42,2026-09-17T13:29:42,
C,20,1,2026-09-17T13:36:11,2026-09-17T13:37:11,
C,1,2,2026-09-17T13:39:30,2026-09-17T13:40:32,
C,2,2,2026-09-17T13:41:57,2026-09-17T13:42:57,
C,3,2,2026-09-17T13:43:24,2026-09-17T13:44:28,
C,4,2,2026-09-17T13:45:26,2026-09-17T13:46:26,
C,5,2,2026-09-17T13:47:06,2026-09-17T13:48:06,
C,6,2,2026-09-17T13:48:34,2026-09-17T13:49:34,
C,7,2,2026-09-17T13:49:58,2026-09-17T13:50:58,
C,8,2,2026-09-17T13:51:53,2026-09-17T13:52:53,
C,9,2,2026-09-17T13:53:22,2026-09-17T13:54:24,
C,10,2,2026-09-17T13:54:57,2026-09-17T13:55:57,
C,11,2,2026-09-17T13:56:33,2026-09-17T13:57:56,
C,12,2,2026-09-17T13:58:27,2026-09-17T13:59:27,
C,13,2,2026-09-17T13:59:51,2026-09-17T14:00:53,
C,14,2,2026-09-17T14:01:29,2026-09-17T14:02:29,
C,15,2,2026-09-17T14:02:55,2026-09-17T14:04:05,
C,16,2,2026-09-17T14:04:50,2026-09-17T14:05:50,
C,17,2,2026-09-17T14:06:21,2026-09-17T14:07:21,
C,18,2,2026-09-17T14:08:30,2026-09-17T14:09:30,
C,19,2,2026-09-17T14:10:06,2026-09-17T14:11:06,
C,20,2,2026-09-17T14:11:55,2026-09-17T14:12:55,
C,1,3,2026-09-17T14:28:58,2026-09-17T14:29:58,
C,2,3,2026-09-17T17:02:32,2026-09-17T17:03:32,
C,3,3,2026-09-17T17:03:58,2026-09-17T17:04:58,
C,4,3,2026-09-17T17:05:33,2026-09-17T17:06:36,
C,5,3,2026-09-17T17:07:18,2026-09-17T17:08:18,
C,6,3,2026-09-17T17:08:48,2026-09-17T17:09:48,
C,7,3,2026-09-17T17:10:21,2026-09-17T17:11:21,
C,8,3,2026-09-17T17:11:57,2026-09-17T17:11:57,
C,9,3,2026-09-17T17:13:21,2026-09-17T17:14:21,
C,10,3,2026-09-17T17:15:10,2026-09-17T17:16:10,
C,11,3,2026-09-17T17:16:49,2026-09-17T17:17:49,
C,12,3,2026-09-17T17:18:15,2026-09-17T17:19:15,
C,13,3,2026-09-17T17:19:50,2026-09-17T17:20:50,
C,14,3,2026-09-17T17:21:13,2026-09-17T17:22:13,
C,15,3,2026-09-17T17:22:42,2026-09-17T17:23:42,
C,16,3,2026-09-17T17:24:03,2026-09-17T17:25:03,
C,17,3,2026-09-17T17:25:29,2026-09-17T17:26:29,
C,18,3,2026-09-17T17:26:56,2026-09-17T17:27:56,
C,19,3,2026-09-17T17:30:06,2026-09-17T17:31:06,
C,20,3,2026-09-17T17:31:29,2026-09-17T17:32:29,
