unit,rp2040_uid,n_magnets,distance_mm,n,mean_uT,sd_uT,cv_pct,min_uT,max_uT
Unit-C,df6470a31b8b442e,1,1,67,46564.15683064603,190.64542480420945,0.40942526995084955,46135.45071374143,46908.34502187443
Unit-C,df6470a31b8b442e,1,2,62,27758.794445073745,85.06984704230263,0.30646088471396016,27505.385079350246,27926.62186674094
Unit-C,df6470a31b8b442e,1,3,61,18313.745294531713,86.80230190141742,0.4739735128200983,18169.32029465881,18530.963630762828
Unit-C,df6470a31b8b442e,1,4,61,12465.466544737095,86.16615955448849,0.6912389459732475,12293.604845652397,12708.035904893584
Unit-C,df6470a31b8b442e,1,5,62,8842.080211790879,89.41568814177155,1.0112517190528998,8574.947438699432,9040.088225091697
Unit-C,df6470a31b8b442e,1,6,61,6417.8715275033965,93.17208811294653,1.451759944300275,6169.8231265185805,6663.592732231473
Unit-C,df6470a31b8b442e,1,7,61,4764.795101532327,83.53242552699486,1.7531168444185852,4585.745737598255,4993.769570903088
Unit-C,df6470a31b8b442e,1,8,61,3607.0029807989663,88.91353401550919,2.4650252436390963,3413.355260419722,3843.7200008989207
Unit-C,df6470a31b8b442e,1,9,61,2742.565141710281,78.49568254624864,2.8621264579078782,2553.293810233357,2888.419495678444
Unit-C,df6470a31b8b442e,1,10,61,2116.7285543103767,103.13279946725534,4.872273266085158,1843.4971139778947,2306.22024940226
Unit-C,df6470a31b8b442e,1,11,61,1605.4606253015654,90.30618838223285,5.624939469647222,1283.8192902042579,1812.4473725041744
Unit-C,df6470a31b8b442e,1,12,63,1233.613940238243,94.21997483575214,7.637719691912351,1050.222912824642,1526.6133425885603
Unit-C,df6470a31b8b442e,1,13,61,928.9468839955643,119.68863551589045,12.884335754600794,738.3420301642875,1289.081857553792
Unit-C,df6470a31b8b442e,1,14,61,739.03531559475,88.77180694502276,12.011849105422288,532.7233798217992,991.303184039802
Unit-C,df6470a31b8b442e,1,15,62,583.5959221304371,119.57173930383767,20.488789377988954,294.1404304943202,1000.7872488404056
Unit-C,df6470a31b8b442e,1,16,61,490.0803744898144,119.95370231094287,24.476332568064496,225.34222294445385,762.6766300547774
Unit-C,df6470a31b8b442e,1,17,61,465.2725749747164,108.49577648244234,23.318755997672582,214.6062411791031,705.6317500097879
Unit-C,df6470a31b8b442e,1,18,61,456.2438651644853,110.24200601063097,24.162956354686862,203.304107347832,803.294753937708
Unit-C,df6470a31b8b442e,1,19,61,483.170083436356,103.83993149755004,21.491382653294597,253.6122690551829,738.3420301642876
Unit-C,df6470a31b8b442e,1,20,61,509.50947699701067,120.59102348095682,23.66806289682897,305.9469086037166,945.8708032590611
Unit-C,df6470a31b8b442e,2,1,63,63355.535280559445,108.48637130346806,0.17123424310607466,63100.7325423385,63587.26515277446
Unit-C,df6470a31b8b442e,2,2,61,40101.74306928603,394.07232328826746,0.9826812829741755,39280.08044509557,40781.71044302121
Unit-C,df6470a31b8b442e,2,3,65,27089.246055651955,104.83106685371321,0.3869840697609266,26805.679247210406,27292.65755766676
Unit-C,df6470a31b8b442e,2,4,61,19041.3589074622,80.14815478414705,0.42091614980660574,18843.795189669952,19230.894243703893
Unit-C,df6470a31b8b442e,2,5,61,13756.343597275089,88.05536669508648,0.6401073517277427,13552.861186131742,14050.333697783866
Unit-C,df6470a31b8b442e,2,6,61,10198.788849842698,96.02957809725673,0.9415782551350482,10034.714919263235,10403.762045107147
Unit-C,df6470a31b8b442e,2,7,61,7764.524611152955,81.3921479191796,1.0482566801613071,7626.250874193038,7984.538281983369
Unit-C,df6470a31b8b442e,2,8,60,5987.380191423414,75.93382800033244,1.2682312726541634,5822.275869260182,6158.022444658427
Unit-C,df6470a31b8b442e,2,9,63,4694.728140929421,94.27864289086155,2.0081810929353856,4455.472557159956,4920.929304084972
Unit-C,df6470a31b8b442e,2,10,61,3724.587732089644,76.11523982386069,2.043588318999187,3569.162739134369,3922.058355046794
Unit-C,df6470a31b8b442e,2,11,84,2976.7454661912466,84.76598192950712,2.847605980835352,2805.5782086148765,3154.758804955071
Unit-C,df6470a31b8b442e,2,12,61,2376.4336860372414,75.03350865795181,3.1573996404280877,2205.7950879219406,2566.7623867877664
Unit-C,df6470a31b8b442e,2,13,63,1907.15979336114,70.34114880616765,3.6882671840622137,1770.5712802440783,2047.7815832074266
Unit-C,df6470a31b8b442e,2,14,61,1543.7198742482017,81.14729641063033,5.256607611542828,1375.8689067600478,1743.284285780178
Unit-C,df6470a31b8b442e,2,15,71,1219.9379834027977,93.0277262884017,7.625611101059218,979.5600732541517,1424.1141172956934
Unit-C,df6470a31b8b442e,2,16,61,973.1245653744912,95.92711709266283,9.857640070543983,763.501920767275,1159.4514684131814
Unit-C,df6470a31b8b442e,2,17,61,791.3116945446384,96.38492604879222,12.180399545877695,533.7567777269126,996.3725862127591
Unit-C,df6470a31b8b442e,2,18,61,634.6104211387938,92.9291630371315,14.64349779670688,454.41156624794286,815.2594092230974
Unit-C,df6470a31b8b442e,2,19,60,516.3109744730699,86.8911996473658,16.829237406011774,316.81783988761765,697.553078818678
Unit-C,df6470a31b8b442e,2,20,61,432.65835505554475,108.42783171401841,25.060843144956355,167.18234689607368,646.4791676170698
Unit-C,df6470a31b8b442e,3,1,61,82239.80292114706,101.38528149143986,0.1232800637772075,82009.10687836012,82457.44436723986
Unit-C,df6470a31b8b442e,3,2,61,44659.69207174881,150.0369522072681,0.3359560830966402,44289.876397594104,44896.35708288773
Unit-C,df6470a31b8b442e,3,3,61,30247.27350834749,78.98908247433579,0.2611444712613082,30110.71493566889,30414.693553772664
Unit-C,df6470a31b8b442e,3,4,64,21355.915977801174,85.07129912042836,0.39835003663086793,21166.391613525288,21567.719311456403
Unit-C,df6470a31b8b442e,3,5,61,15741.373320296512,99.79441260867601,0.6339625557320575,15560.90103704328,15998.766750711477
Unit-C,df6470a31b8b442e,3,6,61,11832.72266253894,83.46101236083693,0.7053407296113265,11649.542692891731,12051.416983664736
Unit-C,df6470a31b8b442e,3,7,61,9162.076509888275,94.9047355164562,1.0358430800488208,8961.619267985378,9362.156013216303
Unit-C,df6470a31b8b442e,3,8,61,7132.7715318828305,77.84010059173225,1.091302311363741,6953.852540155595,7316.771161666575
Unit-C,df6470a31b8b442e,3,9,61,5679.631202537327,77.00444450782281,1.355800082114869,5447.782292302693,5826.182044512701
Unit-C,df6470a31b8b442e,3,10,61,4593.159881423473,81.14142682774715,1.7665709211628944,4378.8391645408665,4751.927867897812
Unit-C,df6470a31b8b442e,3,11,61,3716.5217367883347,87.055462041649207,2.3423907676880416,3470.2609959103406,3953.36526113302
Unit-C,df6470a31b8b442e,3,12,61,3035.8119081179707,89.46335420184832,2.94693337102398,2841.9314321395104,3257.514465737754
Unit-C,df6470a31b8b442e,3,13,61,2490.812833475496,84.95897080712415,3.410893410589132,2286.198886131682,2739.6796814200393
Unit-C,df6470a31b8b442e,3,14,61,2049.157580012565,90.55228674456707,4.419000648257213,1886.2584622193235,2251.2925328044817
Unit-C,df6470a31b8b442e,3,15,60,1668.7696061495053,69.74207166802567,4.179251072827693,1496.7744234915951,1810.7961393887372
Unit-C,df6470a31b8b442e,3,16,61,1365.407707192328,88.36513337252741,6.47170313358137,1073.3546780922566,1542.7711184744562
Unit-C,df6470a31b8b442e,3,17,61,1117.185380847095,97.09204854652725,8.690773278192035,916.27870128316,1501.6576969313023
Unit-C,df6470a31b8b442e,3,18,61,905.7293898354449,98.61405639854152,10.887805729309278,684.3368713631626,1149.0165300351457
Unit-C,df6470a31b8b442e,3,19,61,739.400455186167,112.89376955162908,15.268285103125148,505.58082430068913,1036.0352086232986
Unit-C,df6470a31b8b442e,3,20,61,622.0892539752363,110.20711312795846,17.71564328168664,398.0827445894993,882.8496907503232
