,Count,Percent,Term,go_terms
GO:0000003,11,2.08333333333333,reproduction,GO:0010162;GO:0010231;GO:0048437;GO:0048440;GO:0048443;GO:0048449;GO:0048453;GO:0060670;GO:0060674;GO:0080050;GO:2000014
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,1,0.189393939393939,cell morphogenesis,GO:2000392
GO:0002376,3,0.568181818181818,immune system process,GO:0002250;GO:1902033;GO:1902035
GO:0003013,0,0,circulatory system process,
GO:0005975,5,0.946969696969697,carbohydrate metabolic process,GO:0006096;GO:0006097;GO:0019660;GO:0019664
GO:0006091,5,0.946969696969697,generation of precursor metabolites...,GO:0006096;GO:0006099;GO:0006757;GO:0019660;GO:0019664
GO:0006259,1,0.189393939393939,DNA metabolic process,GO:0006265
GO:0006397,2,0.378787878787879,mRNA processing,GO:0000398
GO:0006399,5,0.946969696969697,tRNA metabolic process,GO:0006388;GO:0006432;GO:0008033;GO:0031591
GO:0006412,2,0.378787878787879,translation,GO:0006432;GO:1990145
GO:0006457,1,0.189393939393939,protein folding,
GO:0006464,4,0.757575757575758,cellular protein modification proce...,GO:0000413;GO:0016579;GO:0018208;GO:1990258
GO:0006520,1,0.189393939393939,cellular amino acid metabolic proce...,GO:0006432
GO:0006605,0,0,protein targeting,
GO:0006629,4,0.757575757575758,lipid metabolic process,GO:0009106;GO:0009107;GO:1903964;GO:1903966
GO:0006790,2,0.378787878787879,sulfur compound metabolic process,GO:0009106;GO:0009107
GO:0006810,16,3.03030303030303,transport,GO:0006814;GO:0006842;GO:0015730;GO:0015912;GO:0015913;GO:0035547;GO:0035549;GO:0035674;GO:0050707;GO:0050715;GO:0099093;GO:1902739;GO:1902741;GO:1904467;GO:1904469;GO:2000778
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,1,0.189393939393939,response to stress,GO:1990641
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,2,0.378787878787879,signal transduction,GO:0009787;GO:0009789
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
GO:0008150,219,41.4772727272727,biological_process,GO:0000154;GO:0000375;GO:0000377;GO:0000394;GO:0000398;GO:0000413;GO:0000494;GO:0008152;GO:0001843;GO:0002250;GO:0006353;GO:0006386;GO:0006457;GO:0005975;GO:0006032;GO:0006040;GO:0006047;GO:0006048;GO:0006081;GO:0006082;GO:0006083;GO:0006089;GO:0006090;GO:0006096;GO:0006097;GO:0006099;GO:0006101;GO:0006105;GO:0006107;GO:0006108;GO:0055114;GO:0045454;GO:0006139;GO:0006144;GO:0006163;GO:0006165;GO:0006231;GO:0006265;GO:0006364;GO:0006388;GO:0006396;GO:0006397;GO:0006399;GO:0006432;GO:0006508;GO:0006575;GO:0006725;GO:0006732;GO:0006733;GO:0006753;GO:0006757;GO:0006807;GO:0006814;GO:0006842;GO:0007586;GO:0008033;GO:0008380;GO:0009106;GO:0009107;GO:0009117;GO:0009123;GO:0009126;GO:0009132;GO:0009135;GO:0009144;GO:0009150;GO:0009161;GO:0009167;GO:0009179;GO:0009185;GO:0009205;GO:0009225;GO:0009226;GO:0009259;GO:0009298;GO:0009451;GO:0009787;GO:0009789;GO:0009933;GO:0009934;GO:0009987;GO:0010051;GO:0010075;GO:0010082;GO:0010162;GO:0010231;GO:0010305;GO:0010338;GO:0010358;GO:0010634;GO:0010831;GO:0010885;GO:0010886;GO:0015730;GO:0015912;GO:0015913;GO:0015942;GO:0015949;GO:0015950;GO:0015951;GO:0016070;GO:0016071;GO:0016072;GO:0016579;GO:0018208;GO:0019083;GO:0019362;GO:0019538;GO:0019660;GO:0019664;GO:0019693;GO:0019752;GO:0020027;GO:0022611;GO:0031167;GO:0031590;GO:0031591;GO:0032647;GO:0032661;GO:0032727;GO:0032741;GO:0032755;GO:0032787;GO:0032963;GO:0033967;GO:0034470;GO:0034641;GO:0034660;GO:0034963;GO:0035547;GO:0035549;GO:0035674;GO:0035728;GO:0035729;GO:0039695;GO:0042398;GO:0043170;GO:0043436;GO:0043603;GO:0043605;GO:0043648;GO:0044236;GO:0044237;GO:0044238;GO:0044245;GO:0044259;GO:0044260;GO:0044281;GO:0045687;GO:0046031;GO:0046034;GO:0046073;GO:0046294;GO:0046348;GO:0046349;GO:0046483;GO:0046487;GO:0046496;GO:0048437;GO:0048440;GO:0048443;GO:0048449;GO:0048453;GO:0048509;GO:0048580;GO:0048827;GO:0048831;GO:0050707;GO:0050715;GO:0051186;GO:0055086;GO:0060143;GO:0060327;GO:0060606;GO:0060670;GO:0060674;GO:0070269;GO:0070476;GO:0070934;GO:0071103;GO:0071359;GO:0071360;GO:0071704;GO:0072350;GO:0072521;GO:0072524;GO:0080050;GO:0090628;GO:0097437;GO:0099093;GO:1901072;GO:1901135;GO:1901360;GO:1901419;GO:1901421;GO:1901564;GO:1901741;GO:1902033;GO:1902035;GO:1902739;GO:1902741;GO:1903964;GO:1903966;GO:1904467;GO:1904469;GO:1904971;GO:1904973;GO:1905393;GO:1905957;GO:1905959;GO:1990145;GO:1990258;GO:1990641;GO:2000014;GO:2000024;GO:2000280;GO:2000392;GO:2000778;GO:2001251
GO:0008219,1,0.189393939393939,cell death,GO:0070269
GO:0008283,2,0.378787878787879,cell proliferation,GO:1902033;GO:1902035
GO:0009056,7,1.32575757575758,catabolic process,GO:0006032;GO:0006096;GO:0043605;GO:0046294;GO:0046348;GO:0070934;GO:1901072
