GOslim,Count,Percent,Term,go_terms
GO:0000003,11,0.371621621621622,reproduction,GO:0010162;GO:0010231;GO:0048437;GO:0048440;GO:0048443;GO:0048449;GO:0048453;GO:0060670;GO:0060674;GO:0080050;GO:2000014
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,1,0.0337837837837838,cell morphogenesis,GO:2000392
GO:0002376,4,0.135135135135135,immune system process,GO:0002250;GO:1902033;GO:1902035
GO:0003013,0,0,circulatory system process,
GO:0005975,17,0.574324324324324,carbohydrate metabolic process,GO:0006096;GO:0006097;GO:0019660;GO:0019664
GO:0006091,9,0.304054054054054,generation of precursor metabolites...,GO:0006096;GO:0006099;GO:0006757;GO:0019660;GO:0019664
GO:0006259,3,0.101351351351351,DNA metabolic process,GO:0006265
GO:0006397,19,0.641891891891892,mRNA processing,GO:0000398
GO:0006399,21,0.709459459459459,tRNA metabolic process,GO:0006388;GO:0006432;GO:0008033;GO:0031591
GO:0006412,3,0.101351351351351,translation,GO:0006432;GO:1990145
GO:0006457,8,0.27027027027027,protein folding,
GO:0006464,12,0.405405405405405,cellular protein modification proce...,GO:0000413;GO:0016579;GO:0018208;GO:1990258
GO:0006520,2,0.0675675675675676,cellular amino acid metabolic proce...,GO:0006432
GO:0006605,0,0,protein targeting,
GO:0006629,4,0.135135135135135,lipid metabolic process,GO:0009106;GO:0009107;GO:1903964;GO:1903966
GO:0006790,2,0.0675675675675676,sulfur compound metabolic process,GO:0009106;GO:0009107
GO:0006810,23,0.777027027027027,transport,GO:0006814;GO:0006842;GO:0015730;GO:0015912;GO:0015913;GO:0035547;GO:0035549;GO:0035674;GO:0050707;GO:0050715;GO:0099093;GO:1902739;GO:1902741;GO:1904467;GO:1904469;GO:2000778
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,1,0.0337837837837838,response to stress,GO:1990641
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,3,0.101351351351351,signal transduction,GO:0009787;GO:0009789
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
