GOslim,Count,Percent,Term,go_terms
GO:0000003,22,2.34291799787007,reproduction,GO:0007297;GO:0007298;GO:0009566;GO:0048132;GO:0060467;GO:0060468;GO:0080154;GO:0098728;GO:2000242;GO:2000359;GO:2000360
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,2,0.212992545260916,cell morphogenesis,GO:0048670;GO:0048672
GO:0002376,18,1.91693290734824,immune system process,GO:0001913;GO:0002250;GO:0002263;GO:0002292;GO:0002366;GO:0002456;GO:0002768;GO:0030885;GO:0030887;GO:0036336;GO:0048821;GO:0060215
GO:0003013,0,0,circulatory system process,
GO:0005975,14,1.49094781682641,carbohydrate metabolic process,GO:0000272;GO:0005976;GO:0010412;GO:0016052;GO:0044264;GO:0046355
GO:0006091,0,0,generation of precursor metabolites...,
GO:0006259,6,0.638977635782748,DNA metabolic process,GO:0006278;GO:0007004;GO:0010833
GO:0006397,1,0.106496272630458,mRNA processing,GO:1900364
GO:0006399,1,0.106496272630458,tRNA metabolic process,GO:0002946
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,1,0.106496272630458,cellular protein modification proce...,GO:0097039
GO:0006520,0,0,cellular amino acid metabolic proce...,
GO:0006605,4,0.425985090521832,protein targeting,GO:0006620;GO:0031204;GO:0045047
GO:0006629,22,2.34291799787007,lipid metabolic process,GO:0001523;GO:0002138;GO:0006720;GO:0006721;GO:0008299;GO:0009685;GO:0009686;GO:0016101;GO:0016102;GO:0016114;GO:0042573
GO:0006790,2,0.212992545260916,sulfur compound metabolic process,GO:0019295;GO:0019296
GO:0006810,13,1.38445154419595,transport,GO:0006620;GO:0006887;GO:0031204;GO:0045047;GO:0045055;GO:0150007
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,7,0.745473908413205,response to stress,GO:0002532;GO:0006982;GO:0033194;GO:0042060;GO:0071447;GO:0071449
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,53,5.64430244941427,cytoskeleton organization,GO:0007015;GO:0030239;GO:0030241;GO:0030834;GO:0030835;GO:0030837;GO:0031032;GO:0031033;GO:0031034;GO:0032956;GO:0043519;GO:0043520;GO:0045214;GO:0051493;GO:0051693;GO:0051764;GO:0071688;GO:0071689
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,2,0.212992545260916,signal transduction,GO:0002768
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
GO:0008150,421,44.8349307774228,biological_process,GO:0000154;GO:0000272;GO:0000455;GO:0000462;GO:0000495;GO:0001503;GO:0001522;GO:0001523;GO:0001913;GO:0002138;GO:0002250;GO:0002263;GO:0002292;GO:0002366;GO:0002456;GO:0002532;GO:0002768;GO:0002946;GO:0003012;GO:0006936;GO:0005976;GO:0006022;GO:0006026;GO:0006030;GO:0006031;GO:0006032;GO:0006040;GO:0006278;GO:0006364;GO:0006508;GO:0006620;GO:0006720;GO:0006721;GO:0006887;GO:0006982;GO:0007004;GO:0007015;GO:0007297;GO:0007298;GO:0007427;GO:0007517;GO:0007525;GO:0007527;GO:0007586;GO:0040003;GO:0008299;GO:0008362;GO:0008363;GO:0009566;GO:0009685;GO:0009686;GO:0010412;GO:0010631;GO:0010755;GO:0010756;GO:0010833;GO:0010927;GO:0010954;GO:0016052;GO:0016072;GO:0016101;GO:0016102;GO:0016114;GO:0016998;GO:0050821;GO:0018990;GO:0019295;GO:0019296;GO:0022404;GO:0030162;GO:0030239;GO:0030241;GO:0030282;GO:0030490;GO:0030834;GO:0030835;GO:0030837;GO:0030885;GO:0030887;GO:0031032;GO:0031033;GO:0031034;GO:0031118;GO:0031120;GO:0031204;GO:0031214;GO:0031647;GO:0032501;GO:0032956;GO:0032970;GO:0033194;GO:0033979;GO:0034470;GO:0034754;GO:0034964;GO:0036336;GO:0040031;GO:0042060;GO:0042335;GO:0042337;GO:0042573;GO:0042692;GO:0043242;GO:0043254;GO:0043519;GO:0043520;GO:0044036;GO:0044245;GO:0044264;GO:0045047;GO:0045055;GO:0045214;GO:0045862;GO:0046348;GO:0046355;GO:0048132;GO:0048670;GO:0048672;GO:0048821;GO:0051493;GO:0051693;GO:0051764;GO:0060215;GO:0060361;GO:0060467;GO:0060468;GO:0061061;GO:0070613;GO:0070972;GO:0071447;GO:0071449;GO:0071559;GO:0071560;GO:0071688;GO:0071689;GO:0072599;GO:0080154;GO:0097039;GO:0097749;GO:0097753;GO:0098728;GO:0150007;GO:1900364;GO:1901071;GO:1901072;GO:1901073;GO:1901135;GO:1901879;GO:1901880;GO:1903317;GO:1903319;GO:2000242;GO:2000359;GO:2000360
GO:0008219,0,0,cell death,
GO:0008283,0,0,cell proliferation,
GO:0009056,16,1.70394036208733,catabolic process,GO:0000272;GO:0006026;GO:0006032;GO:0016052;GO:0016998;GO:0046348;GO:0046355;GO:1901072
GO:0009058,15,1.59744408945687,biosynthetic process,GO:0002138;GO:0006031;GO:0006278;GO:0007004;GO:0008299;GO:0009686;GO:0016102;GO:0016114;GO:0019295;GO:1901073
GO:0009790,1,0.106496272630458,embryo development,GO:0060215
GO:0015031,4,0.425985090521832,protein transport,GO:0006620;GO:0031204;GO:0045047
GO:0015979,0,0,photosynthesis,
GO:0016192,9,0.958466453674121,vesicle-mediated transport,GO:0006887;GO:0045055;GO:0150007
GO:0019748,0,0,secondary metabolic process,
GO:0021700,0,0,developmental maturation,
GO:0022607,33,3.51437699680511,cellular component assembly,GO:0010927;GO:0030239;GO:0030241;GO:0030837;GO:0031034;GO:0043254;GO:0043520;GO:0045214;GO:0051693;GO:0071688;GO:0071689
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,30,3.19488817891374,cell differentiation,GO:0002292;GO:0007297;GO:0007298;GO:0030239;GO:0030241;GO:0042692;GO:0045214;GO:0048132;GO:0048670;GO:0048672;GO:0048821;GO:0071688;GO:0071689;GO:0098728
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellula...,
GO:0032196,0,0,transposition,
GO:0034330,0,0,cell junction organization,
GO:0034641,42,4.47284345047923,cellular nitrogen compound metaboli...,GO:0000154;GO:0000455;GO:0000462;GO:0000495;GO:0001522;GO:0002946;GO:0006278;GO:0006364;GO:0007004;GO:0010833;GO:0016072;GO:0030490;GO:0031118;GO:0031120;GO:0033979;GO:0034470;GO:0034964;GO:0040031;GO:1900364
GO:0034655,0,0,nucleobase-containing compound cata...,
GO:0040007,2,0.212992545260916,growth,GO:0048670;GO:0048672
GO:0040011,16,1.70394036208733,locomotion,GO:0007297;GO:0007298;GO:0007427;GO:0010631;GO:0036336;GO:0060361
GO:0042254,14,1.49094781682641,ribosome biogenesis,GO:0000154;GO:0000455;GO:0000462;GO:0006364;GO:0030490;GO:0031118
GO:0042592,5,0.53248136315229,homeostatic process,GO:0007004;GO:0010833;GO:0048821
GO:0043473,0,0,pigmentation,
GO:0044281,7,0.745473908413205,small molecule metabolic process,GO:0002138;GO:0009685;GO:0009686;GO:0019295;GO:0019296;GO:0042573
GO:0044403,0,0,symbiont process,
GO:0048646,18,1.91693290734824,anatomical structure formation invo...,GO:0010927;GO:0030239;GO:0030241;GO:0045214;GO:0071688;GO:0071689
GO:0048856,63,6.70926517571885,anatomical structure development,GO:0002292;GO:0007297;GO:0007298;GO:0007427;GO:0007517;GO:0007525;GO:0007527;GO:0040003;GO:0008362;GO:0008363;GO:0010927;GO:0030239;GO:0030241;GO:0030282;GO:0031214;GO:0042335;GO:0042337;GO:0042692;GO:0045214;GO:0048132;GO:0048670;GO:0048672;GO:0048821;GO:0060215;GO:0061061;GO:0071688;GO:0071689;GO:0098728
GO:0048870,13,1.38445154419595,cell motility,GO:0007297;GO:0007298;GO:0007427;GO:0010631;GO:0036336
GO:0050877,0,0,nervous system process,
GO:0051186,2,0.212992545260916,cofactor metabolic process,GO:0019295;GO:0019296
GO:0051276,4,0.425985090521832,chromosome organization,GO:0007004;GO:0010833
GO:0051301,2,0.212992545260916,cell division,GO:0048132;GO:0098728
GO:0051604,26,2.76890308839191,protein maturation,GO:0010755;GO:0010756;GO:0010954;GO:0070613;GO:1903317;GO:1903319
GO:0055085,1,0.106496272630458,transmembrane transport,GO:0031204
GO:0061024,2,0.212992545260916,membrane organization,GO:0097749;GO:0097753
GO:0065003,21,2.23642172523962,protein-containing complex assembly,GO:0030241;GO:0030837;GO:0031034;GO:0043254;GO:0043520;GO:0051693;GO:0071688
GO:0071554,4,0.425985090521832,cell wall organization or biogenesi...,GO:0010412;GO:0016998;GO:0044036;GO:0046355
GO:0071941,0,0,nitrogen cycle metabolic process,
GO:0140014,0,0,mitotic nuclear division,
