GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,142,23.7061769616027,cellular_component,GO:0000164;GO:0001652;GO:0005576;GO:0005615;GO:0005697;GO:0005703;GO:0005732;GO:0030141;GO:0005859;GO:0005861;GO:0005863;GO:0016459;GO:0016460;GO:0030017;GO:0031089;GO:0031429;GO:0031672;GO:0031983;GO:0032009;GO:0032426;GO:0032982;GO:0034388;GO:0034774;GO:0036379;GO:0044421;GO:0044430;GO:0044449;GO:0044452;GO:0060205;GO:0060473;GO:0072588;GO:0090661;GO:0098723;GO:0099503;GO:0101003
GO:0005576,56,9.34891485809683,extracellular region,GO:0005615;GO:0044421
GO:0005615,16,2.67111853088481,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,79,13.1886477462437,intracellular,GO:0000164;GO:0001652;GO:0005697;GO:0005703;GO:0030141;GO:0005859;GO:0005861;GO:0005863;GO:0016459;GO:0016460;GO:0030017;GO:0031089;GO:0031429;GO:0031672;GO:0032009;GO:0032982;GO:0034388;GO:0034774;GO:0036379;GO:0044430;GO:0044449;GO:0044452;GO:0060205;GO:0060473;GO:0090661;GO:0098723;GO:0099503;GO:0101003
GO:0005623,80,13.355592654424,cell,GO:0000164;GO:0001652;GO:0005697;GO:0005703;GO:0030141;GO:0005859;GO:0005861;GO:0005863;GO:0016459;GO:0016460;GO:0030017;GO:0031089;GO:0031429;GO:0031672;GO:0032009;GO:0032426;GO:0032982;GO:0034388;GO:0034774;GO:0036379;GO:0044430;GO:0044449;GO:0044452;GO:0060205;GO:0060473;GO:0090661;GO:0098723;GO:0099503;GO:0101003
GO:0005634,13,2.17028380634391,nucleus,GO:0001652;GO:0005697;GO:0031429;GO:0034388;GO:0044452;GO:0090661
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,3,0.500834724540901,chromosome,GO:0005703
GO:0005730,10,1.669449081803,nucleolus,GO:0001652;GO:0031429;GO:0034388;GO:0044452
GO:0005737,42,7.01168614357262,cytoplasm,GO:0000164;GO:0030141;GO:0005859;GO:0005861;GO:0005863;GO:0030017;GO:0031089;GO:0031672;GO:0032009;GO:0034774;GO:0036379;GO:0044449;GO:0060205;GO:0060473;GO:0098723;GO:0099503;GO:0101003
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,30,5.00834724540902,cytoskeleton,GO:0005859;GO:0005861;GO:0005863;GO:0016459;GO:0016460;GO:0032982;GO:0044430
GO:0005886,0,0,plasma membrane,
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,16,2.67111853088481,cytoplasmic vesicle,GO:0030141;GO:0031089;GO:0032009;GO:0034774;GO:0060205;GO:0060473;GO:0099503;GO:0101003
GO:0032991,31,5.17529215358932,protein-containing complex,GO:0000164;GO:0005697;GO:0005732;GO:0005859;GO:0005861;GO:0005863;GO:0016459;GO:0016460;GO:0031429;GO:0032982;GO:0034388;GO:0072588;GO:0090661
GO:0043226,81,13.5225375626043,organelle,GO:0001652;GO:0005697;GO:0005703;GO:0030141;GO:0005859;GO:0005861;GO:0005863;GO:0016459;GO:0016460;GO:0030017;GO:0031089;GO:0031429;GO:0031672;GO:0031983;GO:0032009;GO:0032426;GO:0032982;GO:0034388;GO:0034774;GO:0036379;GO:0044430;GO:0044449;GO:0044452;GO:0060205;GO:0060473;GO:0090661;GO:0098723;GO:0099503;GO:0101003
