GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,49,30.8176100628931,cellular_component,GO:0000164;GO:0001652;GO:0005882;GO:0005576;GO:0005615;GO:0005640;GO:0005883;GO:0008091;GO:0016459;GO:0019867;GO:0030867;GO:0031968;GO:0032420;GO:0032426;GO:0034663;GO:0044421;GO:0045169;GO:0045170;GO:0061174;GO:0098552;GO:0098723
GO:0005576,24,15.0943396226415,extracellular region,GO:0005615;GO:0044421
GO:0005615,7,4.40251572327044,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,17,10.6918238993711,intracellular,GO:0000164;GO:0001652;GO:0005882;GO:0005640;GO:0005883;GO:0008091;GO:0016459;GO:0030867;GO:0031968;GO:0034663;GO:0045169;GO:0045170;GO:0098723
GO:0005623,20,12.5786163522013,cell,GO:0000164;GO:0001652;GO:0005882;GO:0005640;GO:0005883;GO:0008091;GO:0016459;GO:0030867;GO:0031968;GO:0032420;GO:0032426;GO:0034663;GO:0045169;GO:0045170;GO:0061174;GO:0098723
GO:0005634,2,1.25786163522013,nucleus,GO:0001652;GO:0005640
GO:0005635,1,0.628930817610063,nuclear envelope,GO:0005640
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,1,0.628930817610063,nucleolus,GO:0001652
GO:0005737,9,5.66037735849057,cytoplasm,GO:0000164;GO:0005883;GO:0008091;GO:0030867;GO:0034663;GO:0045169;GO:0045170;GO:0098723
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,2,1.25786163522013,endoplasmic reticulum,GO:0030867;GO:0034663
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,6,3.77358490566038,cytoskeleton,GO:0005882;GO:0005883;GO:0008091;GO:0016459
GO:0005886,0,0,plasma membrane,
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,0,0,cytoplasmic vesicle,
GO:0032991,4,2.51572327044025,protein-containing complex,GO:0000164;GO:0016459;GO:0034663
GO:0043226,17,10.6918238993711,organelle,GO:0001652;GO:0005882;GO:0005640;GO:0005883;GO:0008091;GO:0016459;GO:0030867;GO:0031968;GO:0032420;GO:0032426;GO:0034663;GO:0045170;GO:0098723
