,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,citrate synthase,Unkn-01,206,,27.0433942755094,27.12221107046,0.111463780361904,NaN,NaN,NaN,NaN,60,
,A02,SYBR,citrate synthase,Unkn-01,206,,27.2010278654106,27.12221107046,0.111463780361904,NaN,NaN,NaN,NaN,60,
,A03,SYBR,citrate synthase,Unkn-02,220,,26.4524061847295,26.5332733907857,0.114363499555972,NaN,NaN,NaN,NaN,60,
,A04,SYBR,citrate synthase,Unkn-02,220,,26.614140596842,26.5332733907857,0.114363499555972,NaN,NaN,NaN,NaN,60,
,A05,SYBR,citrate synthase,Unkn-03,226,,26.6148842014811,26.6559291981751,0.0580463909922584,NaN,NaN,NaN,NaN,60,
,A06,SYBR,citrate synthase,Unkn-03,226,,26.6969741948691,26.6559291981751,0.0580463909922584,NaN,NaN,NaN,NaN,60,
,A07,SYBR,citrate synthase,Unkn-04,242,,27.2878449778442,27.2945433239927,0.00947289196865342,NaN,NaN,NaN,NaN,60,
,A08,SYBR,citrate synthase,Unkn-04,242,,27.3012416701412,27.2945433239927,0.00947289196865342,NaN,NaN,NaN,NaN,60,
,A09,SYBR,citrate synthase,Unkn-05,253,,26.2698991289725,26.3075428647606,0.0532362816899253,NaN,NaN,NaN,NaN,60,
,A10,SYBR,citrate synthase,Unkn-05,253,,26.3451866005487,26.3075428647606,0.0532362816899253,NaN,NaN,NaN,NaN,60,
,A11,SYBR,citrate synthase,Unkn-06,282,,26.1654209235603,26.194901869191,0.0416923531424801,NaN,NaN,NaN,NaN,60,
,A12,SYBR,citrate synthase,Unkn-06,282,,26.2243828148217,26.194901869191,0.0416923531424801,NaN,NaN,NaN,NaN,60,
,B01,SYBR,citrate synthase,Unkn-07,284,,26.8863306961341,26.8327210886973,0.0758154339107247,NaN,NaN,NaN,NaN,60,
,B02,SYBR,citrate synthase,Unkn-07,284,,26.7791114812604,26.8327210886973,0.0758154339107247,NaN,NaN,NaN,NaN,60,
,B03,SYBR,citrate synthase,Unkn-08,289,,27.3051805568893,27.3284713793928,0.0329381970632381,NaN,NaN,NaN,NaN,60,
,B04,SYBR,citrate synthase,Unkn-08,289,,27.3517622018962,27.3284713793928,0.0329381970632381,NaN,NaN,NaN,NaN,60,
,B05,SYBR,citrate synthase,Unkn-09,296,,26.958759883549,26.9846166799357,0.0365670321295578,NaN,NaN,NaN,NaN,60,
,B06,SYBR,citrate synthase,Unkn-09,296,,27.0104734763224,26.9846166799357,0.0365670321295578,NaN,NaN,NaN,NaN,60,
,B07,SYBR,citrate synthase,Unkn-10,298,,27.2992102866437,27.2891225869973,0.0142661616531076,NaN,NaN,NaN,NaN,60,
