GOslim	Count
GO:0048856	1137
GO:0023052	600
GO:0030154	533
GO:0002376	331
GO:0006629	212
GO:0016192	164
GO:0055085	158
GO:1901135	158
GO:0012501	148
GO:0022414	123
GO:0048870	123
GO:0055086	119
GO:0007010	106
GO:0098542	97
GO:0006520	90
GO:0061024	88
GO:0065003	88
GO:0007155	80
GO:0034330	76
GO:0005975	58
GO:0006790	58
GO:0050877	58
GO:0006351	54
GO:0030163	54
GO:0003013	51
GO:0016071	50
GO:0000278	45
GO:0006914	44
GO:0006091	38
GO:0003012	37
GO:0006954	37
GO:0051604	37
GO:0006886	36
GO:0007018	35
GO:0006355	33
GO:0006281	32
GO:0007005	29
GO:0006325	26
GO:0006913	25
GO:0007059	25
GO:0006575	23
GO:0042060	23
GO:0042254	23
GO:0006399	21
GO:0044782	21
GO:0007163	17
GO:0032200	17
GO:0050886	16
GO:0140014	16
GO:0006310	15
GO:0006486	15
GO:0031047	15
GO:0003014	13
GO:0006766	13
GO:0022600	13
GO:0030198	13
GO:0000910	12
GO:0007031	11
GO:0072659	11
GO:0098754	11
GO:0007040	10
GO:0140013	10
GO:0006260	9
GO:0006457	9
GO:0002181	8
GO:0071554	5
GO:0140053	4
GO:0003016	3
GO:0016073	3
GO:0071941	1
GO:0015979	0
GO:0061007	0
