Q86IC9 	 PGEN_.00g000010
P04177 	 PGEN_.00g000020
Q8L840 	 PGEN_.00g000050
Q61043 	 PGEN_.00g000060
A1E2V0 	 PGEN_.00g000080
P34456 	 PGEN_.00g000090
P34457 	 PGEN_.00g000120
O00463 	 PGEN_.00g000210
Q00945 	 PGEN_.00g000230
Q5SWK7 	 PGEN_.00g000240
Q8ZXT3 	 PGEN_.00g000280
Q5REG4 	 PGEN_.00g000300
Q8QG60 	 PGEN_.00g000380
Q9H583 	 PGEN_.00g000440
A0JMR6 	 PGEN_.00g000450
O88917 	 PGEN_.00g000460
Q7D513 	 PGEN_.00g000490
Q92968 	 PGEN_.00g000520
A6H769 	 PGEN_.00g000530
Q14676 	 PGEN_.00g000540
Q54W11 	 PGEN_.00g000560
Q9FKK7 	 PGEN_.00g000600
Q3ZCD7 	 PGEN_.00g000660
Q9D180 	 PGEN_.00g000670
Q9D6Z0 	 PGEN_.00g000680
O67987 	 PGEN_.00g000730
P86029 	 PGEN_.00g000740
Q3B8M3 	 PGEN_.00g000750
Q8BKE9 	 PGEN_.00g000760
P32240 	 PGEN_.00g000770
Q9GKL8 	 PGEN_.00g000790
Q4ZJM9 	 PGEN_.00g000800
Q4ZJM9 	 PGEN_.00g000820
P18173 	 PGEN_.00g000890
A6NDV4 	 PGEN_.00g000900
Q9ESN3 	 PGEN_.00g000910
Q9XVZ8 	 PGEN_.00g000920
Q9QYM7 	 PGEN_.00g000930
Q9BXJ4 	 PGEN_.00g000940
Q9QYM7 	 PGEN_.00g000950
Q02508 	 PGEN_.00g000960
P55096 	 PGEN_.00g000970
Q8R3P9 	 PGEN_.00g000980
Q4VBF2 	 PGEN_.00g001000
Q5R5C1 	 PGEN_.00g001010
Q8N2E2 	 PGEN_.00g001020
Q15831 	 PGEN_.00g001030
Q5ZJN0 	 PGEN_.00g001040
Q802T2 	 PGEN_.00g001080
Q0EEE2 	 PGEN_.00g001120
P29540 	 PGEN_.00g001130
Q6PDJ1 	 PGEN_.00g001140
D4GU72 	 PGEN_.00g001150
Q9VKJ9 	 PGEN_.00g001170
Q9HAR2 	 PGEN_.00g001190
Q07666 	 PGEN_.00g001200
Q9WTK8 	 PGEN_.00g001210
Q9U943 	 PGEN_.00g001350
Q9D1E8 	 PGEN_.00g001390
O81069 	 PGEN_.00g001410
O54750 	 PGEN_.00g001440
P00187 	 PGEN_.00g001450
Q5RBR7 	 PGEN_.00g001480
Q86Y13 	 PGEN_.00g001500
Q8BZ25 	 PGEN_.00g001510
